hQuasiFermiPotential,X
none,none
8.4174918,14.25
8.4576527,14.5
8.4950039,14.75
8.5296954,15
8.561868,15.25
8.5916534,15.5
8.6191748,15.75
8.6445468,16
8.667876,16.25
8.689261,16.5
8.7087929,16.75
8.7265553,17
8.7426247,17.25
8.7570707,17.5
8.7699561,17.75
8.7813373,18
8.7912641,18.25
8.7997803,18.5
8.8069233,18.75
8.8127249,19
8.8172107,19.25
8.8204007,19.5
8.822309,19.75
8.8229442,20

