AcceptorConcentration,X
none,none
2.6702436e+12,15.5
2.6702436e+12,15.75
2.6702436e+12,16
2.6702436e+12,16.25
2.6702436e+12,16.5
2.6702436e+12,16.75
2.6702436e+12,17
2.6702436e+12,17.25
2.6702436e+12,17.5
2.6702436e+12,17.75
2.6702436e+12,18
2.6702435e+12,18.25
2.6702435e+12,18.5
2.6702435e+12,18.75
2.6702435e+12,19
2.6702435e+12,19.25
2.6702435e+12,19.5
2.6702435e+12,19.75
2.6702435e+12,20

