time,source OuterVoltage,source InnerVoltage,source QuasiFermiPotential,source DisplacementCurrent,source eCurrent,source hCurrent,source TotalCurrent,source Charge,drain OuterVoltage,drain InnerVoltage,drain QuasiFermiPotential,drain DisplacementCurrent,drain eCurrent,drain hCurrent,drain TotalCurrent,drain Charge,gate OuterVoltage,gate InnerVoltage,gate QuasiFermiPotential,gate DisplacementCurrent,gate eCurrent,gate hCurrent,gate TotalCurrent,gate Charge
Time,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge
0.22,1.3182154,1.3182154,0,0,1.5343746e-5,0,1.5343746e-5,3.4687486e-15,0,0,0,0,-1.5343664e-5,0,-1.5343664e-5,1.372348e-15,1.490208,1.490208,0,0,3.8325323e-12,-3.8325323e-12,0,4.3612433e-15
0.225,1.3182154,1.3182154,0,0,1.5325198e-5,0,1.5325198e-5,3.4678046e-15,0,0,0,0,-1.5326211e-5,0,-1.5326211e-5,1.372336e-15,1.494117,1.494117,0,0,2.9863423e-11,-2.9863423e-11,0,4.3745106e-15
0.23,1.3182154,1.3182154,0,0,1.5291686e-5,0,1.5291686e-5,3.4653698e-15,0,0,0,0,-1.529175e-5,0,-1.529175e-5,1.3723222e-15,1.4980259,1.4980259,0,0,7.9122477e-12,-7.9122477e-12,0,4.3953423e-15
0.235,1.3182154,1.3182154,0,0,1.5266709e-5,0,1.5266709e-5,3.4641266e-15,0,0,0,0,-1.5266151e-5,0,-1.5266151e-5,1.3723093e-15,1.5019348,1.5019348,0,0,1.0505461e-11,-1.0505461e-11,0,4.4123253e-15
0.24,1.3182154,1.3182154,0,0,1.5236537e-5,0,1.5236537e-5,3.4615627e-15,0,0,0,0,-1.5236624e-5,0,-1.5236624e-5,1.3722961e-15,1.5058437,1.5058437,0,0,3.1266684e-12,-3.1266684e-12,0,4.4308803e-15
0.245,1.3182154,1.3182154,0,0,1.5213026e-5,0,1.5213026e-5,3.4601245e-15,0,0,0,0,-1.5211939e-5,0,-1.5211939e-5,1.3722835e-15,1.5097526,1.5097526,0,0,1.2807681e-11,-1.2807681e-11,0,4.4467722e-15
0.25,1.3182154,1.3182154,0,0,1.5185902e-5,0,1.5185902e-5,3.4584171e-15,0,0,0,0,-1.5186481e-5,0,-1.5186481e-5,1.3722705e-15,1.5136616,1.5136616,0,0,1.1998775e-11,-1.1998775e-11,0,4.4643225e-15
0.255,1.3182154,1.3182154,0,0,1.5165145e-5,0,1.5165145e-5,3.4573706e-15,0,0,0,0,-1.5163548e-5,0,-1.5163548e-5,1.3722582e-15,1.5175705,1.5175705,0,0,3.0727508e-11,-3.0727508e-11,0,4.478803e-15
0.26,1.3182154,1.3182154,0,0,1.5135473e-5,0,1.5135473e-5,3.4555867e-15,0,0,0,0,-1.5136194e-5,0,-1.5136194e-5,1.3722447e-15,1.5214794,1.5214794,0,0,1.782852e-11,-1.782852e-11,0,4.4982866e-15
0.265,1.3182154,1.3182154,0,0,1.5112256e-5,0,1.5112256e-5,3.4543484e-15,0,0,0,0,-1.5113209e-5,0,-1.5113209e-5,1.372232e-15,1.5253883,1.5253883,0,0,2.7018983e-11,-2.7018983e-11,0,4.5142925e-15
